size,read-start,read-end,time,block-time
524288,0.380306640,0.384561600,0.004254960,0.000033242
1048576,0.384566448,0.392859624,0.008293176,0.000032395
2097152,0.392864496,0.409522088,0.016657592,0.000032534
4096,0.409527184,0.409692616,0.000165432,0.000165432
8192,0.409697496,0.409885976,0.000188480,0.000094240
16384,0.409890632,0.410137064,0.000246432,0.000061608
32768,0.410141032,0.410500520,0.000359488,0.000044936
65536,0.410504280,0.411237792,0.000733512,0.000045844
131072,0.411242656,0.412366776,0.001124120,0.000035129
262144,0.412370536,0.414531920,0.002161384,0.000033772
524288,0.414535744,0.418733056,0.004197312,0.000032792
1048576,0.418737136,0.427160688,0.008423552,0.000032905
2097152,0.427165480,0.441700144,0.014534664,0.000028388
4096,0.441705584,0.441841848,0.000136264,0.000136264
8192,0.441846416,0.441989912,0.000143496,0.000071748
16384,0.441993504,0.442237096,0.000243592,0.000060898
32768,0.442241040,0.442593616,0.000352576,0.000044072
65536,0.442597312,0.443045616,0.000448304,0.000028019
131072,0.443048904,0.444179616,0.001130712,0.000035335
262144,0.444183544,0.446338408,0.002154864,0.000033670
524288,0.446342392,0.450538888,0.004196496,0.000032785
1048576,0.450543328,0.459043864,0.008500536,0.000033205
2097152,0.459049000,0.474643456,0.015594456,0.000030458
4096,0.474648576,0.474802568,0.000153992,0.000153992
8192,0.474807760,0.475004360,0.000196600,0.000098300
16384,0.475008728,0.475264440,0.000255712,0.000063928
32768,0.475268216,0.475653088,0.000384872,0.000048109
65536,0.475657072,0.476112096,0.000455024,0.000028439
131072,0.476116000,0.477239696,0.001123696,0.000035116
262144,0.477242944,0.478918928,0.001675984,0.000026187
524288,0.478922696,0.483242208,0.004319512,0.000033746
1048576,0.483246824,0.491083984,0.007837160,0.000030614
2097152,0.491088432,0.507652096,0.016563664,0.000032351
4096,0.507657416,0.507814552,0.000157136,0.000157136
8192,0.507819408,0.508101912,0.000282504,0.000141252
16384,0.508106256,0.508360088,0.000253832,0.000063458
32768,0.508363840,0.508751584,0.000387744,0.000048468
65536,0.508754944,0.509233320,0.000478376,0.000029899
131072,0.509237864,0.510369600,0.001131736,0.000035367
262144,0.510374056,0.512632664,0.002258608,0.000035291
524288,0.512636888,0.517464408,0.004827520,0.000037715
1048576,0.517469008,0.526967728,0.009498720,0.000037104
2097152,0.526972528,0.543345832,0.016373304,0.000031979
4096,0.543351152,0.543503360,0.000152208,0.000152208
8192,0.543507960,0.543695608,0.000187648,0.000093824
16384,0.543699424,0.543961224,0.000261800,0.000065450
32768,0.543964872,0.544318736,0.000353864,0.000044233
