size,read-start,read-end,time,block-time
524288,0.109072968,0.110211968,0.001139000,0.000008898
1048576,0.110215296,0.112479584,0.002264288,0.000008845
2097152,0.112483536,0.117095912,0.004612376,0.000009009
4096,0.117100224,0.117192280,0.000092056,0.000092056
8192,0.117197448,0.117277240,0.000079792,0.000039896
16384,0.117281408,0.117393336,0.000111928,0.000027982
32768,0.117397056,0.117517568,0.000120512,0.000015064
65536,0.117521800,0.117711280,0.000189480,0.000011843
131072,0.117715528,0.118008176,0.000292648,0.000009145
262144,0.118010928,0.118593752,0.000582824,0.000009107
524288,0.118597096,0.119737544,0.001140448,0.000008910
1048576,0.119741688,0.122046320,0.002304632,0.000009002
2097152,0.122050064,0.126626344,0.004576280,0.000008938
4096,0.126630536,0.126699488,0.000068952,0.000068952
8192,0.126704312,0.126805840,0.000101528,0.000050764
16384,0.126810072,0.126904248,0.000094176,0.000023544
32768,0.126907632,0.127021552,0.000113920,0.000014240
65536,0.127025744,0.127217136,0.000191392,0.000011962
131072,0.127221344,0.127514920,0.000293576,0.000009174
262144,0.127519264,0.128111968,0.000592704,0.000009261
524288,0.128115368,0.129250864,0.001135496,0.000008871
1048576,0.129254464,0.131505368,0.002250904,0.000008793
2097152,0.131509184,0.136062664,0.004553480,0.000008894
4096,0.136067232,0.136158072,0.000090840,0.000090840
8192,0.136163000,0.136244440,0.000081440,0.000040720
16384,0.136248288,0.136365328,0.000117040,0.000029260
32768,0.136369824,0.136491016,0.000121192,0.000015149
65536,0.136495184,0.136685712,0.000190528,0.000011908
131072,0.136689368,0.136981680,0.000292312,0.000009135
262144,0.136985976,0.137578592,0.000592616,0.000009260
524288,0.137582528,0.138718760,0.001136232,0.000008877
1048576,0.138722888,0.140991360,0.002268472,0.000008861
2097152,0.140995472,0.145487296,0.004491824,0.000008773
4096,0.145490960,0.145612568,0.000121608,0.000121608
8192,0.145616408,0.145800552,0.000184144,0.000092072
16384,0.145805360,0.145926184,0.000120824,0.000030206
32768,0.145930024,0.146054136,0.000124112,0.000015514
65536,0.146058280,0.146269272,0.000210992,0.000013187
131072,0.146273752,0.146565888,0.000292136,0.000009129
262144,0.146568808,0.147151344,0.000582536,0.000009102
524288,0.147154872,0.148940480,0.001785608,0.000013950
1048576,0.148944856,0.152338240,0.003393384,0.000013255
2097152,0.152342624,0.156895216,0.004552592,0.000008892
4096,0.156899656,0.156973208,0.000073552,0.000073552
8192,0.156977864,0.157076168,0.000098304,0.000049152
16384,0.157080664,0.157192040,0.000111376,0.000027844
32768,0.157196624,0.157337304,0.000140680,0.000017585
65536,0.157341096,0.157527672,0.000186576,0.000011661
131072,0.157531840,0.157981368,0.000449528,0.000014048
262144,0.157985072,0.158574256,0.000589184,0.000009206
524288,0.158578288,0.159718216,0.001139928,0.000008906
1048576,0.159722256,0.162012656,0.002290400,0.000008947
2097152,0.162016632,0.166637672,0.004621040,0.000009025
4096,0.166642120,0.166712464,0.000070344,0.000070344
8192,0.166717840,0.166816048,0.000098208,0.000049104
16384,0.166820672,0.167029384,0.000208712,0.000052178
32768,0.167033376,0.167170032,0.000136656,0.000017082
65536,0.167174752,0.167363632,0.000188880,0.000011805
131072,0.167368608,0.167681936,0.000313328,0.000009792
262144,0.167686288,0.168275592,0.000589304,0.000009208
524288,0.168279336,0.169420360,0.001141024,0.000008914
1048576,0.169423368,0.171688288,0.002264920,0.000008847
2097152,0.171691432,0.176257504,0.004566072,0.000008918
4096,0.176262200,0.176358192,0.000095992,0.000095992
8192,0.176363184,0.176445216,0.000082032,0.000041016
16384,0.176449544,0.176564040,0.000114496,0.000028624
32768,0.176567528,0.176687480,0.000119952,0.000014994
65536,0.176691592,0.176900072,0.000208480,0.000013030
131072,0.176904640,0.177196768,0.000292128,0.000009129
262144,0.177199720,0.177779616,0.000579896,0.000009061
524288,0.177782960,0.178921040,0.001138080,0.000008891
1048576,0.178924800,0.181182048,0.002257248,0.000008817
2097152,0.181186104,0.185720304,0.004534200,0.000008856
4096,0.185724280,0.185801112,0.000076832,0.000076832
8192,0.185806176,0.185907832,0.000101656,0.000050828
16384,0.185911424,0.186009704,0.000098280,0.000024570
32768,0.186013560,0.186151576,0.000138016,0.000017252
65536,0.186156048,0.186343376,0.000187328,0.000011708
131072,0.186346800,0.186634776,0.000287976,0.000008999
262144,0.186639152,0.187237816,0.000598664,0.000009354
524288,0.187240896,0.188381008,0.001140112,0.000008907
1048576,0.188385264,0.190650608,0.002265344,0.000008849
2097152,0.190654176,0.195188408,0.004534232,0.000008856
4096,0.195191824,0.195258616,0.000066792,0.000066792
8192,0.195263320,0.195358496,0.000095176,0.000047588
16384,0.195362296,0.195455072,0.000092776,0.000023194
32768,0.195459312,0.195653712,0.000194400,0.000024300
65536,0.195658120,0.195856568,0.000198448,0.000012403
131072,0.195861160,0.196176768,0.000315608,0.000009863
262144,0.196180856,0.196767296,0.000586440,0.000009163
524288,0.196771304,0.197917344,0.001146040,0.000008953
1048576,0.197921840,0.200182448,0.002260608,0.000008831
2097152,0.200186320,0.204782424,0.004596104,0.000008977
4096,0.204786688,0.204863584,0.000076896,0.000076896
8192,0.204866760,0.204946720,0.000079960,0.000039980
16384,0.204949920,0.205043328,0.000093408,0.000023352
32768,0.205046472,0.205181712,0.000135240,0.000016905
65536,0.205184896,0.205373360,0.000188464,0.000011779
131072,0.205375912,0.205705104,0.000329192,0.000010287
262144,0.205709768,0.206307592,0.000597824,0.000009341
524288,0.206311848,0.207463960,0.001152112,0.000009001
1048576,0.207468088,0.209722552,0.002254464,0.000008807
2097152,0.209726832,0.214257368,0.004530536,0.000008849
4096,0.214260976,0.214324824,0.000063848,0.000063848
8192,0.214329952,0.214424016,0.000094064,0.000047032
16384,0.214428496,0.214523368,0.000094872,0.000023718
32768,0.214526480,0.214637792,0.000111312,0.000013914
65536,0.214642656,0.214829608,0.000186952,0.000011685
131072,0.214833464,0.215126952,0.000293488,0.000009172
262144,0.215131240,0.215737312,0.000606072,0.000009470
524288,0.215741224,0.216918040,0.001176816,0.000009194
1048576,0.216922688,0.219183056,0.002260368,0.000008830
2097152,0.219186536,0.223741112,0.004554576,0.000008896
4096,0.223745488,0.223817384,0.000071896,0.000071896
8192,0.223822752,0.223921256,0.000098504,0.000049252
16384,0.223925064,0.224016448,0.000091384,0.000022846
32768,0.224021200,0.224162472,0.000141272,0.000017659
65536,0.224166280,0.224353504,0.000187224,0.000011702
131072,0.224357504,0.224669040,0.000311536,0.000009735
262144,0.224673336,0.225653768,0.000980432,0.000015319
524288,0.225658256,0.226826832,0.001168576,0.000009130
1048576,0.226831016,0.229124576,0.002293560,0.000008959
2097152,0.229128040,0.233646424,0.004518384,0.000008825
4096,0.233650608,0.233720208,0.000069600,0.000069600
8192,0.233724936,0.233821216,0.000096280,0.000048140
16384,0.233825560,0.233919768,0.000094208,0.000023552
32768,0.233922944,0.234034672,0.000111728,0.000013966
65536,0.234037656,0.234201408,0.000163752,0.000010234
131072,0.234203928,0.234661192,0.000457264,0.000014289
262144,0.234665792,0.235263336,0.000597544,0.000009337
524288,0.235266600,0.236492216,0.001225616,0.000009575
1048576,0.236495624,0.238757888,0.002262264,0.000008837
2097152,0.238761288,0.242967928,0.004206640,0.000008216
4096,0.242971600,0.243039248,0.000067648,0.000067648
8192,0.243044456,0.243143360,0.000098904,0.000049452
16384,0.243147416,0.243241736,0.000094320,0.000023580
32768,0.243246200,0.243385864,0.000139664,0.000017458
65536,0.243390280,0.243579512,0.000189232,0.000011827
131072,0.243582720,0.243868784,0.000286064,0.000008940
262144,0.243873032,0.244468120,0.000595088,0.000009298
524288,0.244471592,0.245647696,0.001176104,0.000009188
1048576,0.245652600,0.247965872,0.002313272,0.000009036
2097152,0.247970464,0.252512904,0.004542440,0.000008872
4096,0.252516656,0.252582536,0.000065880,0.000065880
8192,0.252587336,0.252685272,0.000097936,0.000048968
16384,0.252689448,0.252783832,0.000094384,0.000023596
32768,0.252788112,0.252924808,0.000136696,0.000017087
65536,0.252929008,0.253118384,0.000189376,0.000011836
131072,0.253121328,0.253406144,0.000284816,0.000008901
262144,0.253410488,0.254002616,0.000592128,0.000009252
